Product_Name,Price_Rank,Price,Product_Subcategory,Product_Category
"LL Road Frame - Black, 52",12,337.22,Road Frames,Components
"Road-650 Black, 52",12,782.99,Road Bikes,Bikes
"Road-650 Black, 48",11,782.99,Road Bikes,Bikes
"HL Road Frame - Black, 52",11,1431.50,Road Frames,Components
"LL Road Frame - Black, 48",11,337.22,Road Frames,Components
"LL Road Frame - Black, 44",10,337.22,Road Frames,Components
"ML Road Frame - Red, 60",10,594.83,Road Frames,Components
"Touring-3000 Yellow, 62",10,742.35,Touring Bikes,Bikes
"Road-650 Black, 44",10,782.99,Road Bikes,Bikes
"HL Road Frame - Black, 48",10,1431.50,Road Frames,Components
"LL Touring Frame - Yellow, 62",10,333.42,Touring Frames,Components
"LL Touring Frame - Blue, 44",9,333.42,Touring Frames,Components
"HL Road Frame - Black, 44",9,1431.50,Road Frames,Components
"Road-650 Black, 62",9,782.99,Road Bikes,Bikes
"Touring-3000 Yellow, 58",9,742.35,Touring Bikes,Bikes
"ML Road Frame - Red, 58",9,594.83,Road Frames,Components
"LL Road Frame - Red, 62",9,337.22,Road Frames,Components
"Road-750 Black, 58",9,539.99,Road Bikes,Bikes
"Mountain-500 Black, 52",8,539.99,Mountain Bikes,Bikes
"LL Road Frame - Red, 60",8,337.22,Road Frames,Components
"Touring-3000 Yellow, 54",8,742.35,Touring Bikes,Bikes
"ML Road Frame - Red, 52",8,594.83,Road Frames,Components
"Road-650 Black, 60",8,782.99,Road Bikes,Bikes
"HL Road Frame - Black, 62",8,1431.50,Road Frames,Components
"HL Touring Frame - Yellow, 60",8,1003.91,Touring Frames,Components
"LL Touring Frame - Yellow, 58",8,333.42,Touring Frames,Components
"Touring-1000 Blue, 60",8,2384.07,Touring Bikes,Bikes
"Road-250 Black, 58",8,2443.35,Road Bikes,Bikes
"Road-250 Black, 52",7,2443.35,Road Bikes,Bikes
"Touring-1000 Blue, 54",7,2384.07,Touring Bikes,Bikes
"LL Touring Frame - Yellow, 54",7,333.42,Touring Frames,Components
"HL Touring Frame - Blue, 60",7,1003.91,Touring Frames,Components
"HL Road Frame - Red, 56",7,1431.50,Road Frames,Components
"Road-650 Black, 58",7,782.99,Road Bikes,Bikes
"ML Road Frame - Red, 48",7,594.83,Road Frames,Components
"Touring-3000 Yellow, 50",7,742.35,Touring Bikes,Bikes
"LL Road Frame - Red, 58",7,337.22,Road Frames,Components
"Mountain-500 Black, 48",7,539.99,Mountain Bikes,Bikes
"Mountain-500 Black, 44",6,539.99,Mountain Bikes,Bikes
"LL Road Frame - Red, 52",6,337.22,Road Frames,Components
"Touring-3000 Yellow, 44",6,742.35,Touring Bikes,Bikes
"ML Road Frame - Red, 44",6,594.83,Road Frames,Components
"Road-650 Red, 52",6,782.99,Road Bikes,Bikes
"HL Road Frame - Red, 52",6,1431.50,Road Frames,Components
"HL Touring Frame - Blue, 54",6,1003.91,Touring Frames,Components
"LL Touring Frame - Yellow, 50",6,333.42,Touring Frames,Components
"Touring-1000 Blue, 50",6,2384.07,Touring Bikes,Bikes
"Road-250 Black, 48",6,2443.35,Road Bikes,Bikes
"Road-250 Black, 44",5,2443.35,Road Bikes,Bikes
"Road-150 Red, 56",5,3578.27,Road Bikes,Bikes
"LL Touring Frame - Yellow, 44",5,333.42,Touring Frames,Components
"LL Mountain Frame - Black, 52",5,249.79,Mountain Frames,Components
"LL Mountain Frame - Silver, 52",5,264.05,Mountain Frames,Components
LL Bottom Bracket,5,53.99,Bottom Brackets,Components
"HL Touring Frame - Blue, 50",5,1003.91,Touring Frames,Components
"Road-550-W Yellow, 48",5,1120.49,Road Bikes,Bikes
"HL Mountain Frame - Black, 38",5,1349.60,Mountain Frames,Components
"HL Road Frame - Red, 48",5,1431.50,Road Frames,Components
"HL Mountain Frame - Silver, 46",5,1364.50,Mountain Frames,Components
"Road-450 Red, 52",5,1457.99,Road Bikes,Bikes
"Touring-1000 Blue, 46",5,2384.07,Touring Bikes,Bikes
"Road-650 Red, 48",5,782.99,Road Bikes,Bikes
"ML Road Frame-W - Yellow, 48",5,594.83,Road Frames,Components
"Touring-3000 Blue, 62",5,742.35,Touring Bikes,Bikes
"LL Road Frame - Red, 48",5,337.22,Road Frames,Components
"Mountain-500 Black, 42",5,539.99,Mountain Bikes,Bikes
"Mountain-500 Silver, 52",5,564.99,Mountain Bikes,Bikes
"Mountain-500 Silver, 48",4,564.99,Mountain Bikes,Bikes
"Mountain-500 Black, 40",4,539.99,Mountain Bikes,Bikes
"ML Mountain Frame - Black, 48",4,348.76,Mountain Frames,Components
"ML Mountain Frame-W - Silver, 38",4,364.09,Mountain Frames,Components
"Touring-3000 Blue, 58",4,742.35,Touring Bikes,Bikes
"ML Road Frame-W - Yellow, 44",4,594.83,Road Frames,Components
"Road-650 Red, 44",4,782.99,Road Bikes,Bikes
"Mountain-400-W Silver, 46",4,769.49,Mountain Bikes,Bikes
"Touring-1000 Yellow, 60",4,2384.07,Touring Bikes,Bikes
"Road-350-W Yellow, 48",4,1700.99,Road Bikes,Bikes
"HL Road Frame - Red, 44",4,1431.50,Road Frames,Components
"Road-450 Red, 48",4,1457.99,Road Bikes,Bikes
"HL Mountain Frame - Black, 46",4,1349.60,Mountain Frames,Components
"HL Mountain Frame - Silver, 48",4,1364.50,Mountain Frames,Components
"Road-550-W Yellow, 44",4,1120.49,Road Bikes,Bikes
"Touring-2000 Blue, 54",4,1214.85,Touring Bikes,Bikes
"HL Touring Frame - Blue, 46",4,1003.91,Touring Frames,Components
"Mountain-300 Black, 48",4,1079.99,Mountain Bikes,Bikes
"Short-Sleeve Classic Jersey, XL",4,53.99,Jerseys,Clothing
"Men's Sports Shorts, S",4,59.99,Shorts,Clothing
"Long-Sleeve Logo Jersey, XL",4,49.99,Jerseys,Clothing
AWC Logo Cap,4,8.99,Caps,Clothing
"Sport-100 Helmet, Black",4,34.99,Helmets,Accessories
"LL Mountain Frame - Black, 48",4,249.79,Mountain Frames,Components
"LL Touring Frame - Blue, 62",4,333.42,Touring Frames,Components
"LL Mountain Frame - Silver, 48",4,264.05,Mountain Frames,Components
"LL Road Frame - Red, 44",4,337.22,Road Frames,Components
"Road-150 Red, 52",4,3578.27,Road Bikes,Bikes
"Mountain-100 Silver, 48",4,3399.99,Mountain Bikes,Bikes
"Road-250 Red, 58",4,2443.35,Road Bikes,Bikes
"Mountain-100 Black, 48",4,3374.99,Mountain Bikes,Bikes
"Mountain-100 Black, 44",3,3374.99,Mountain Bikes,Bikes
"Road-250 Red, 52",3,2443.35,Road Bikes,Bikes
"Mountain-100 Silver, 44",3,3399.99,Mountain Bikes,Bikes
"Road-150 Red, 48",3,3578.27,Road Bikes,Bikes
"LL Road Frame - Black, 62",3,337.22,Road Frames,Components
"LL Mountain Frame - Silver, 44",3,264.05,Mountain Frames,Components
"LL Touring Frame - Blue, 58",3,333.42,Touring Frames,Components
"LL Mountain Frame - Black, 44",3,249.79,Mountain Frames,Components
"Classic Vest, L",3,63.50,Vests,Clothing
"Women's Mountain Shorts, L",3,69.99,Shorts,Clothing
"Women's Tights, L",3,74.99,Tights,Clothing
Touring Pedal,3,80.99,Pedals,Components
"Men's Bib-Shorts, L",3,89.99,Bib-Shorts,Clothing
"Sport-100 Helmet, Red",3,34.99,Helmets,Accessories
LL Road Seat/Saddle,3,27.12,Saddles,Components
"Racing Socks, L",3,8.99,Socks,Clothing
"Half-Finger Gloves, L",3,24.49,Gloves,Clothing
LL Mountain Tire,3,24.99,Tires and Tubes,Accessories
Water Bottle - 30 oz.,3,4.99,Bottles and Cages,Accessories
"Long-Sleeve Logo Jersey, L",3,49.99,Jerseys,Clothing
"Full-Finger Gloves, L",3,37.99,Gloves,Clothing
ML Mountain Seat/Saddle,3,39.14,Saddles,Components
"Men's Sports Shorts, XL",3,59.99,Shorts,Clothing
"Short-Sleeve Classic Jersey, L",3,53.99,Jerseys,Clothing
HL Touring Seat/Saddle,3,52.64,Saddles,Components
"Mountain-300 Black, 44",3,1079.99,Mountain Bikes,Bikes
"HL Touring Frame - Yellow, 54",3,1003.91,Touring Frames,Components
"Touring-2000 Blue, 50",3,1214.85,Touring Bikes,Bikes
"Road-550-W Yellow, 42",3,1120.49,Road Bikes,Bikes
"HL Mountain Frame - Silver, 44",3,1364.50,Mountain Frames,Components
"HL Mountain Frame - Black, 48",3,1349.60,Mountain Frames,Components
"Road-450 Red, 44",3,1457.99,Road Bikes,Bikes
"HL Road Frame - Red, 62",3,1431.50,Road Frames,Components
"Mountain-200 Black, 46",3,2294.99,Mountain Bikes,Bikes
"Road-350-W Yellow, 44",3,1700.99,Road Bikes,Bikes
"Touring-1000 Yellow, 54",3,2384.07,Touring Bikes,Bikes
"Mountain-200 Silver, 46",3,2319.99,Mountain Bikes,Bikes
"Mountain-400-W Silver, 42",3,769.49,Mountain Bikes,Bikes
"Road-650 Red, 62",3,782.99,Road Bikes,Bikes
"ML Road Frame-W - Yellow, 42",3,594.83,Road Frames,Components
"Touring-3000 Blue, 54",3,742.35,Touring Bikes,Bikes
"ML Mountain Frame - Black, 44",3,348.76,Mountain Frames,Components
"Road-750 Black, 52",3,539.99,Road Bikes,Bikes
"ML Mountain Frame-W - Silver, 46",3,364.09,Mountain Frames,Components
"Mountain-500 Silver, 44",3,564.99,Mountain Bikes,Bikes
"Mountain-500 Silver, 42",2,564.99,Mountain Bikes,Bikes
"ML Road Frame-W - Yellow, 40",2,594.83,Road Frames,Components
"Road-750 Black, 48",2,539.99,Road Bikes,Bikes
"ML Mountain Frame-W - Silver, 42",2,364.09,Mountain Frames,Components
"ML Mountain Frame - Black, 40",2,348.76,Mountain Frames,Components
"Touring-3000 Blue, 50",2,742.35,Touring Bikes,Bikes
"Road-650 Red, 60",2,782.99,Road Bikes,Bikes
"Mountain-400-W Silver, 40",2,769.49,Mountain Bikes,Bikes
"Mountain-200 Black, 42",2,2294.99,Mountain Bikes,Bikes
"Mountain-200 Silver, 42",2,2319.99,Mountain Bikes,Bikes
"Touring-1000 Yellow, 50",2,2384.07,Touring Bikes,Bikes
"Road-350-W Yellow, 42",2,1700.99,Road Bikes,Bikes
"HL Road Frame - Red, 58",2,1431.50,Road Frames,Components
"Road-450 Red, 60",2,1457.99,Road Bikes,Bikes
"HL Mountain Frame - Black, 44",2,1349.60,Mountain Frames,Components
"HL Mountain Frame - Silver, 42",2,1364.50,Mountain Frames,Components
"Touring-2000 Blue, 46",2,1214.85,Touring Bikes,Bikes
"HL Touring Frame - Yellow, 50",2,1003.91,Touring Frames,Components
"Road-550-W Yellow, 40",2,1120.49,Road Bikes,Bikes
"Mountain-300 Black, 40",2,1079.99,Mountain Bikes,Bikes
HL Mountain Seat/Saddle,2,52.64,Saddles,Components
"Short-Sleeve Classic Jersey, M",2,53.99,Jerseys,Clothing
"Men's Sports Shorts, L",2,59.99,Shorts,Clothing
ML Mountain Handlebars,2,61.92,Handlebars,Components
ML Mountain Pedal,2,62.09,Pedals,Components
LL Road Pedal,2,40.49,Pedals,Components
"Full-Finger Gloves, M",2,37.99,Gloves,Clothing
ML Touring Seat/Saddle,2,39.14,Saddles,Components
"Long-Sleeve Logo Jersey, M",2,49.99,Jerseys,Clothing
LL Road Handlebars,2,44.54,Handlebars,Components
Mountain Tire Tube,2,4.99,Tires and Tubes,Accessories
"Racing Socks, M",2,8.99,Socks,Clothing
"Mountain Bike Socks, L",2,9.50,Socks,Clothing
ML Road Tire,2,24.99,Tires and Tubes,Accessories
LL Touring Seat/Saddle,2,27.12,Saddles,Components
"Half-Finger Gloves, M",2,24.49,Gloves,Clothing
Headlights - Dual-Beam,2,34.99,Lights,Accessories
"Classic Vest, M",2,63.50,Vests,Clothing
"Women's Mountain Shorts, M",2,69.99,Shorts,Clothing
HL Road Handlebars,2,120.27,Handlebars,Components
ML Fork,2,175.49,Forks,Components
Rear Brakes,2,106.50,Brakes,Components
"Women's Tights, M",2,74.99,Tights,Clothing
HL Road Pedal,2,80.99,Pedals,Components
"Men's Bib-Shorts, M",2,89.99,Bib-Shorts,Clothing
"LL Mountain Frame - Black, 42",2,249.79,Mountain Frames,Components
"LL Mountain Frame - Silver, 42",2,264.05,Mountain Frames,Components
"LL Touring Frame - Blue, 54",2,333.42,Touring Frames,Components
"LL Road Frame - Black, 60",2,337.22,Road Frames,Components
"Road-150 Red, 44",2,3578.27,Road Bikes,Bikes
"Mountain-100 Silver, 42",2,3399.99,Mountain Bikes,Bikes
"Road-250 Red, 48",2,2443.35,Road Bikes,Bikes
"Mountain-100 Black, 42",2,3374.99,Mountain Bikes,Bikes
"Mountain-100 Silver, 38",1,3399.99,Mountain Bikes,Bikes
"Mountain-100 Black, 38",1,3374.99,Mountain Bikes,Bikes
"Road-250 Red, 44",1,2443.35,Road Bikes,Bikes
"Road-150 Red, 62",1,3578.27,Road Bikes,Bikes
"LL Road Frame - Black, 58",1,337.22,Road Frames,Components
LL Road Rear Wheel,1,112.565,Wheels,Components
Hitch Rack - 4-Bike,1,120.00,Bike Racks,Accessories
HL Mountain Handlebars,1,120.27,Handlebars,Components
ML Crankset,1,256.49,Cranksets,Components
"LL Mountain Frame - Silver, 40",1,264.05,Mountain Frames,Components
ML Road Rear Wheel,1,275.385,Wheels,Components
HL Mountain Front Wheel,1,300.215,Wheels,Components
HL Mountain Rear Wheel,1,327.215,Wheels,Components
HL Road Front Wheel,1,330.06,Wheels,Components
"LL Touring Frame - Blue, 50",1,333.42,Touring Frames,Components
ML Mountain Front Wheel,1,209.025,Wheels,Components
Touring Front Wheel,1,218.01,Wheels,Components
HL Fork,1,229.49,Forks,Components
ML Mountain Rear Wheel,1,236.025,Wheels,Components
Touring Rear Wheel,1,245.01,Wheels,Components
ML Road Front Wheel,1,248.385,Wheels,Components
"LL Mountain Frame - Black, 40",1,249.79,Mountain Frames,Components
Rear Derailleur,1,121.46,Derailleurs,Components
HL Bottom Bracket,1,121.49,Bottom Brackets,Components
HL Headset,1,124.73,Headsets,Components
"Touring-Panniers, Large",1,125.00,Panniers,Accessories
LL Fork,1,148.22,Forks,Components
All-Purpose Bike Stand,1,159.00,Bike Stands,Accessories
LL Crankset,1,175.49,Cranksets,Components
"Women's Mountain Shorts, S",1,69.99,Shorts,Clothing
HL Mountain Pedal,1,80.99,Pedals,Components
"Women's Tights, S",1,74.99,Tights,Clothing
Front Derailleur,1,91.49,Derailleurs,Components
HL Touring Handlebars,1,91.57,Handlebars,Components
ML Bottom Bracket,1,101.24,Bottom Brackets,Components
ML Headset,1,102.29,Headsets,Components
Front Brakes,1,106.50,Brakes,Components
LL Road Front Wheel,1,85.565,Wheels,Components
LL Mountain Rear Wheel,1,87.745,Wheels,Components
"Men's Bib-Shorts, S",1,89.99,Bib-Shorts,Clothing
HL Mountain Tire,1,35.00,Tires and Tubes,Accessories
"Full-Finger Gloves, S",1,37.99,Gloves,Clothing
Touring Tire,1,28.99,Tires and Tubes,Accessories
ML Mountain Tire,1,29.99,Tires and Tubes,Accessories
HL Road Tire,1,32.60,Tires and Tubes,Accessories
LL Headset,1,34.20,Headsets,Components
"Sport-100 Helmet, Blue",1,34.99,Helmets,Accessories
Mountain Pump,1,24.99,Pumps,Accessories
Cable Lock,1,25.00,Locks,Accessories
LL Mountain Seat/Saddle,1,27.12,Saddles,Components
Mountain Bottle Cage,1,9.99,Bottles and Cages,Accessories
Taillights - Battery-Powered,1,13.99,Lights,Accessories
Minipump,1,19.99,Pumps,Accessories
Chain,1,20.24,Chains,Components
LL Road Tire,1,21.49,Tires and Tubes,Accessories
Fender Set - Mountain,1,21.98,Fenders,Accessories
"Half-Finger Gloves, S",1,24.49,Gloves,Clothing
"Mountain Bike Socks, M",1,9.50,Socks,Clothing
Bike Wash - Dissolver,1,7.95,Cleaners,Accessories
Road Bottle Cage,1,8.99,Bottles and Cages,Accessories
Patch Kit/8 Patches,1,2.29,Tires and Tubes,Accessories
Road Tire Tube,1,3.99,Tires and Tubes,Accessories
Touring Tire Tube,1,4.99,Tires and Tubes,Accessories
Headlights - Weatherproof,1,44.99,Lights,Accessories
LL Touring Handlebars,1,46.09,Handlebars,Components
"Long-Sleeve Logo Jersey, S",1,49.99,Jerseys,Clothing
HL Road Seat/Saddle,1,52.64,Saddles,Components
ML Road Seat/Saddle,1,39.14,Saddles,Components
LL Mountain Handlebars,1,44.54,Handlebars,Components
LL Mountain Pedal,1,40.49,Pedals,Components
"Classic Vest, S",1,63.50,Vests,Clothing
ML Road Pedal,1,62.09,Pedals,Components
LL Mountain Front Wheel,1,60.745,Wheels,Components
ML Road Handlebars,1,61.92,Handlebars,Components
"Short-Sleeve Classic Jersey, S",1,53.99,Jerseys,Clothing
Hydration Pack - 70 oz.,1,54.99,Hydration Packs,Accessories
"Men's Sports Shorts, M",1,59.99,Shorts,Clothing
"Mountain-300 Black, 38",1,1079.99,Mountain Bikes,Bikes
"Road-550-W Yellow, 38",1,1120.49,Road Bikes,Bikes
"HL Touring Frame - Yellow, 46",1,1003.91,Touring Frames,Components
"HL Mountain Frame - Black, 42",1,1349.60,Mountain Frames,Components
"Touring-2000 Blue, 60",1,1214.85,Touring Bikes,Bikes
"HL Mountain Frame - Silver, 38",1,1364.50,Mountain Frames,Components
"Road-450 Red, 58",1,1457.99,Road Bikes,Bikes
"HL Road Frame - Black, 58",1,1431.50,Road Frames,Components
"Road-350-W Yellow, 40",1,1700.99,Road Bikes,Bikes
"Mountain-200 Silver, 38",1,2319.99,Mountain Bikes,Bikes
"Mountain-200 Black, 38",1,2294.99,Mountain Bikes,Bikes
"Touring-1000 Yellow, 46",1,2384.07,Touring Bikes,Bikes
"Mountain-400-W Silver, 38",1,769.49,Mountain Bikes,Bikes
"Road-650 Red, 58",1,782.99,Road Bikes,Bikes
"Touring-3000 Blue, 44",1,742.35,Touring Bikes,Bikes
HL Road Rear Wheel,1,357.06,Wheels,Components
"ML Mountain Frame-W - Silver, 40",1,364.09,Mountain Frames,Components
HL Crankset,1,404.99,Cranksets,Components
"Road-750 Black, 44",1,539.99,Road Bikes,Bikes
"ML Mountain Frame - Black, 38",1,348.76,Mountain Frames,Components
"ML Road Frame-W - Yellow, 38",1,594.83,Road Frames,Components
"Mountain-500 Silver, 40",1,564.99,Mountain Bikes,Bikes
